household,section,key,label,amount,estimate,source,poverty_line_monthly,notes
single,income,basic,"Basic Income Support",561,FALSE,gov-nl-is-2025,,"Per adult, effective Sept 2025 enhancement."
single,income,housing,"Housing / rental support",522,FALSE,gov-nl-is-overview,,"Up to this maximum (single living alone); reimburses rent up to the cap."
single,income,fuel,"Fuel supplement",71,FALSE,gov-nl-fuel,,"Island rate ($132 in Labrador); policy manual rev. 2016, unchanged by the Sept-2025 enhancement."
single,income,cgeb,"Canada Groceries & Essentials Benefit",57,FALSE,cra-cgeb,,"Formerly the GST/HST credit; renamed & revalued eff. July 2026 (max $679/yr single)."
single,cost,food,"Healthy food (Nutritious Food Basket)",450,TRUE,foodfirst-nfb-2024,,"Estimate: NL publishes no single-adult food basket. Derived from the 2024 family-of-four NFB ($336/wk provincial avg) via a reference-adult share (~26% of the basket) + a ~20% one-person surcharge, ×4.33 (calendar month), not a flat ÷4. Food First NL to supply the household figure."
single,poverty,poverty-line,"Poverty line (Market Basket Measure)",2247,FALSE,maytree-nl-2024,2247,"$26,970/yr ÷ 12 (single, employable), Maytree 2024 ($12,376 income + $14,594 below the line)."
couple,income,basic,"Basic Income Support",1122,FALSE,gov-nl-is-2025,,"$561 × 2 adults, effective Sept 2025."
couple,income,housing,"Housing / rental support",598,FALSE,gov-nl-is-overview,,"Up to this maximum ($299 per adult)."
couple,income,fuel,"Fuel supplement",71,FALSE,gov-nl-fuel,,"Per household, Island rate ($132 in Labrador)."
couple,income,cgeb,"Canada Groceries & Essentials Benefit",74,FALSE,cra-cgeb,,"Formerly the GST/HST credit; max $890/yr couple."
couple,cost,food,"Healthy food (Nutritious Food Basket)",820,TRUE,foodfirst-nfb-2024,,"Estimate: no published NL couple food basket. Derived from the 2024 family-of-four NFB via two adult shares (~51% of the basket) + a ~10% two-person surcharge, ×4.33, not a flat scaling of the family basket. Food First NL to supply the figure."
couple,poverty,poverty-line,"Poverty line (Market Basket Measure)",3179,TRUE,maytree-nl-2024,3179,"Estimate: Maytree does not model a couple-with-no-children household; ~$38,142/yr ÷ 12, derived by √-of-household-size scaling."
family4,income,basic,"Basic Income Support",1122,FALSE,gov-nl-is-2025,,"Couple with dependent children, effective Sept 2025."
family4,income,housing,"Housing / rental support",598,FALSE,gov-nl-is-overview,,"Up to this maximum ($299 per adult)."
family4,income,fuel,"Fuel supplement",71,FALSE,gov-nl-fuel,,"Per household, Island rate ($132 in Labrador)."
family4,income,nlcb,"NL Child Benefit (2 children)",324.17,FALSE,gov-nl-nlcb,,"gov.nl.ca publishes the 2-child NLCB as $324.17/mo ($3,890/yr); canada.ca itemizes it as $157.33 (1st) + $166.83 (2nd), a one-cent rounding difference. Effective July 1, 2026."
family4,income,ccb,"Canada Child Benefit (2 children)",1147,TRUE,cra-ccb,,"Estimate: age-dependent. 2026–27 max $573.58/mo per child aged 6–17 (2 × $573.58 ≈ $1,147); a child under 6 raises it to $679.75/mo."
family4,income,cgeb,"Canada Groceries & Essentials Benefit",113,FALSE,cra-cgeb,,"Formerly the GST/HST credit; max couple $890 + $234/child = $1,358/yr."
family4,income,nl-income-supplement,"NL Income Supplement",88,TRUE,cra-nl-programs,,"Estimate: max $589 (couple) + $231/child = $1,051/yr, paid quarterly."
family4,cost,food,"Healthy food (Nutritious Food Basket)",1455,FALSE,foodfirst-nfb-2024,,"2024 provincial average, family of four: $336/wk × 4.33 (calendar month). Food First NL's own published monthly figure uses ×4 ($1,344/mo)."
family4,poverty,poverty-line,"Poverty line (Market Basket Measure)",4495,FALSE,maytree-nl-2024,4495,"$53,940/yr ÷ 12 (couple + 2 children), Maytree 2024 ($36,133 income + $17,807 below the line)."
